335, 1, 0, 0, 0
354, 1, 0, 0, 0
342, 1, 0, 0, 0
390, 1, 0, 0, 0
363, 1, 0, 0, 0
369, 1, 0, 0, 0
330, 1, 0, 0, 0
395, 1, 0, 0, 0
329, 1, 0, 0, 0
377, 1, 0, 0, 0
331, 1, 0, 0, 0
528, 1, 0, 0, 0
330, 1, 0, 0, 0
322, 1, 0, 0, 0
328, 1, 0, 0, 0
352, 1, 0, 0, 0
326, 1, 0, 0, 0
348, 1, 0, 0, 0
321, 1, 0, 0, 0
380, 1, 0, 0, 0
414, 1, 0, 0, 0
385, 1, 0, 0, 0
317, 1, 0, 0, 0
358, 1, 0, 0, 0
308, 1, 0, 0, 0
336, 1, 0, 0, 0
332, 1, 0, 0, 0
392, 1, 0, 0, 0
332, 1, 0, 0, 0
378, 1, 0, 0, 0
340, 1, 0, 0, 0
462, 1, 0, 0, 0
317, 1, 0, 0, 0
364, 1, 0, 0, 0
347, 1, 0, 0, 0
369, 1, 0, 0, 0
361, 1, 0, 0, 0
342, 1, 0, 0, 0
344, 1, 0, 0, 0
367, 1, 0, 0, 0
329, 1, 0, 0, 0
365, 1, 0, 0, 0
346, 1, 0, 0, 0
391, 1, 0, 0, 0
336, 1, 0, 0, 0
341, 1, 0, 0, 0
317, 1, 0, 0, 0
579, 1, 0, 0, 0
323, 1, 0, 0, 0
337, 1, 0, 0, 0
341, 1, 0, 0, 0
395, 1, 0, 0, 0
346, 1, 0, 0, 0
326, 1, 0, 0, 0
315, 1, 0, 0, 0
369, 1, 0, 0, 0
340, 1, 0, 0, 0
354, 1, 0, 0, 0
349, 1, 0, 0, 0
377, 1, 0, 0, 0
333, 1, 0, 0, 0
357, 1, 0, 0, 0
320, 1, 0, 0, 0
336, 1, 0, 0, 0
331, 1, 0, 0, 0
346, 1, 0, 0, 0
336, 1, 0, 0, 0
376, 1, 0, 0, 0
308, 1, 0, 0, 0
671, 1, 0, 0, 0
313, 1, 0, 0, 0
339, 1, 0, 0, 0
306, 1, 0, 0, 0
320, 1, 0, 0, 0
315, 1, 0, 0, 0
381, 1, 0, 0, 0
330, 1, 0, 0, 0
324, 1, 0, 0, 0
311, 1, 0, 0, 0
360, 1, 0, 0, 0
325, 1, 0, 0, 0
356, 1, 0, 0, 0
299, 1, 0, 0, 0
363, 1, 0, 0, 0
338, 1, 0, 0, 0
344, 1, 0, 0, 0
333, 1, 0, 0, 0
349, 1, 0, 0, 0
332, 1, 0, 0, 0
363, 1, 0, 0, 0
335, 1, 0, 0, 0
650, 1, 0, 0, 0
355, 1, 0, 0, 0
352, 1, 0, 0, 0
331, 1, 0, 0, 0
390, 1, 0, 0, 0
331, 1, 0, 0, 0
333, 1, 0, 0, 0
393, 1, 0, 0, 0
409, 1, 0, 0, 0
348, 1, 0, 0, 0
338, 1, 0, 0, 0
316, 1, 0, 0, 0
362, 1, 0, 0, 0
345, 1, 0, 0, 0
332, 1, 0, 0, 0
336, 1, 0, 0, 0
400, 1, 0, 0, 0
338, 1, 0, 0, 0
333, 1, 0, 0, 0
337, 1, 0, 0, 0
368, 1, 0, 0, 0
320, 1, 0, 0, 0
339, 1, 0, 0, 0
325, 1, 0, 0, 0
369, 1, 0, 0, 0
334, 1, 0, 0, 0
329, 1, 0, 0, 0
312, 1, 0, 0, 0
347, 1, 0, 0, 0
297, 1, 0, 0, 0
316, 1, 0, 0, 0
324, 1, 0, 0, 0
382, 1, 0, 0, 0
411, 1, 0, 0, 0
453, 1, 0, 0, 0
378, 1, 0, 0, 0
688, 1, 0, 0, 0
380, 1, 0, 0, 0
448, 1, 0, 0, 0
380, 1, 0, 0, 0
412, 1, 0, 0, 0
476, 1, 0, 0, 0
355, 1, 0, 0, 0
376, 1, 0, 0, 0
492, 1, 0, 0, 0
375, 1, 0, 0, 0
459, 1, 0, 0, 0
317, 1, 0, 0, 0
485, 1, 0, 0, 0
334, 1, 0, 0, 0
322, 1, 0, 0, 0
366, 1, 0, 0, 0
404, 1, 0, 0, 0
320, 1, 0, 0, 0
366, 1, 0, 0, 0
550, 1, 0, 0, 0
377, 1, 0, 0, 0
385, 1, 0, 0, 0
347, 1, 0, 0, 0
343, 1, 0, 0, 0
376, 1, 0, 0, 0
342, 1, 0, 0, 0
338, 1, 0, 0, 0
314, 1, 0, 0, 0
398, 1, 0, 0, 0
332, 1, 0, 0, 0
379, 1, 0, 0, 0
331, 1, 0, 0, 0
374, 1, 0, 0, 0
324, 1, 0, 0, 0
340, 1, 0, 0, 0
340, 1, 0, 0, 0
375, 1, 0, 0, 0
346, 1, 0, 0, 0
337, 1, 0, 0, 0
331, 1, 0, 0, 0
364, 1, 0, 0, 0
343, 1, 0, 0, 0
327, 1, 0, 0, 0
398, 1, 0, 0, 0
398, 1, 0, 0, 0
324, 1, 0, 0, 0
334, 1, 0, 0, 0
330, 1, 0, 0, 0
352, 1, 0, 0, 0
316, 1, 0, 0, 0
338, 1, 0, 0, 0
338, 1, 0, 0, 0
368, 1, 0, 0, 0
347, 1, 0, 0, 0
325, 1, 0, 0, 0
369, 1, 0, 0, 0
348, 1, 0, 0, 0
1235, 1, 0, 0, 0
1352, 1, 0, 0, 0
488, 1, 0, 0, 0
403, 1, 0, 0, 0
340, 1, 0, 0, 0
327, 1, 0, 0, 0
333, 1, 0, 0, 0
371, 1, 0, 0, 0
338, 1, 0, 0, 0
366, 1, 0, 0, 0
330, 1, 0, 0, 0
402, 1, 0, 0, 0
343, 1, 0, 0, 0
337, 1, 0, 0, 0
333, 1, 0, 0, 0
348, 1, 0, 0, 0
342, 1, 0, 0, 0
325, 1, 0, 0, 0
334, 1, 0, 0, 0
380, 1, 0, 0, 0
342, 1, 0, 0, 0
330, 1, 0, 0, 0
634, 1, 0, 0, 0
358, 1, 0, 0, 0
323, 1, 0, 0, 0
336, 1, 0, 0, 0
328, 1, 0, 0, 0
382, 1, 0, 0, 0
338, 1, 0, 0, 0
374, 1, 0, 0, 0
323, 1, 0, 0, 0
334, 1, 0, 0, 0
312, 1, 0, 0, 0
317, 1, 0, 0, 0
314, 1, 0, 0, 0
417, 1, 0, 0, 0
334, 1, 0, 0, 0
346, 1, 0, 0, 0
335, 1, 0, 0, 0
348, 1, 0, 0, 0
331, 1, 0, 0, 0
355, 1, 0, 0, 0
344, 1, 0, 0, 0
382, 1, 0, 0, 0
363, 1, 0, 0, 0
645, 1, 0, 0, 0
318, 1, 0, 0, 0
335, 1, 0, 0, 0
340, 1, 0, 0, 0
335, 1, 0, 0, 0
342, 1, 0, 0, 0
395, 1, 0, 0, 0
343, 1, 0, 0, 0
331, 1, 0, 0, 0
350, 1, 0, 0, 0
356, 1, 0, 0, 0
344, 1, 0, 0, 0
374, 1, 0, 0, 0
346, 1, 0, 0, 0
372, 1, 0, 0, 0
308, 1, 0, 0, 0
344, 1, 0, 0, 0
331, 1, 0, 0, 0
353, 1, 0, 0, 0
311, 1, 0, 0, 0
337, 1, 0, 0, 0
332, 1, 0, 0, 0
418, 1, 0, 0, 0
357, 1, 0, 0, 0
337, 1, 0, 0, 0
331, 1, 0, 0, 0
348, 1, 0, 0, 0
340, 1, 0, 0, 0
338, 1, 0, 0, 0
337, 1, 0, 0, 0
365, 1, 0, 0, 0
321, 1, 0, 0, 0
352, 1, 0, 0, 0
311, 1, 0, 0, 0
361, 1, 0, 0, 0
362, 1, 0, 0, 0
347, 1, 0, 0, 0
344, 1, 0, 0, 0
416, 1, 0, 0, 0
332, 1, 0, 0, 0
324, 1, 0, 0, 0
322, 1, 0, 0, 0
353, 1, 0, 0, 0
607, 1, 0, 0, 0
349, 1, 0, 0, 0
324, 1, 0, 0, 0
379, 1, 0, 0, 0
333, 1, 0, 0, 0
346, 1, 0, 0, 0
328, 1, 0, 0, 0
346, 1, 0, 0, 0
306, 1, 0, 0, 0
318, 1, 0, 0, 0
318, 1, 0, 0, 0
387, 1, 0, 0, 0
409, 1, 0, 0, 0
331, 1, 0, 0, 0
343, 1, 0, 0, 0
381, 1, 0, 0, 0
339, 1, 0, 0, 0
367, 1, 0, 0, 0
340, 1, 0, 0, 0
377, 1, 0, 0, 0
365, 1, 0, 0, 0
590, 1, 0, 0, 0
374, 1, 0, 0, 0
367, 1, 0, 0, 0
337, 1, 0, 0, 0
364, 1, 0, 0, 0
310, 1, 0, 0, 0
334, 1, 0, 0, 0
330, 1, 0, 0, 0
335, 1, 0, 0, 0
320, 1, 0, 0, 0
355, 1, 0, 0, 0
309, 1, 0, 0, 0
345, 1, 0, 0, 0
310, 1, 0, 0, 0
381, 1, 0, 0, 0
347, 1, 0, 0, 0
343, 1, 0, 0, 0
321, 1, 0, 0, 0
339, 1, 0, 0, 0
313, 1, 0, 0, 0
346, 1, 0, 0, 0
312, 1, 0, 0, 0
394, 1, 0, 0, 0
366, 1, 0, 0, 0
342, 1, 0, 0, 0
329, 1, 0, 0, 0
359, 1, 0, 0, 0
375, 1, 0, 0, 0
352, 1, 0, 0, 0
334, 1, 0, 0, 0
403, 1, 0, 0, 0
323, 1, 0, 0, 0
343, 1, 0, 0, 0
326, 1, 0, 0, 0
345, 1, 0, 0, 0
312, 1, 0, 0, 0
329, 1, 0, 0, 0
319, 1, 0, 0, 0
376, 1, 0, 0, 0
364, 1, 0, 0, 0
347, 1, 0, 0, 0
337, 1, 0, 0, 0
339, 1, 0, 0, 0
325, 1, 0, 0, 0
461, 1, 0, 0, 0
336, 1, 0, 0, 0
408, 1, 0, 0, 0
347, 1, 0, 0, 0
351, 1, 0, 0, 0
338, 1, 0, 0, 0
350, 1, 0, 0, 0
342, 1, 0, 0, 0
332, 1, 0, 0, 0
350, 1, 0, 0, 0
383, 1, 0, 0, 0
357, 1, 0, 0, 0
377, 1, 0, 0, 0
333, 1, 0, 0, 0
393, 1, 0, 0, 0
481, 1, 0, 0, 0
381, 1, 0, 0, 0
363, 1, 0, 0, 0
473, 1, 0, 0, 0
336, 1, 0, 0, 0
405, 1, 0, 0, 0
389, 1, 0, 0, 0
354, 1, 0, 0, 0
332, 1, 0, 0, 0
331, 1, 0, 0, 0
375, 1, 0, 0, 0
421, 1, 0, 0, 0
334, 1, 0, 0, 0
342, 1, 0, 0, 0
362, 1, 0, 0, 0
411, 1, 0, 0, 0
313, 1, 0, 0, 0
357, 1, 0, 0, 0
341, 1, 0, 0, 0
410, 1, 0, 0, 0
341, 1, 0, 0, 0
353, 1, 0, 0, 0
469, 1, 0, 0, 0
385, 1, 0, 0, 0
370, 1, 0, 0, 0
342, 1, 0, 0, 0
377, 1, 0, 0, 0
439, 1, 0, 0, 0
315, 1, 0, 0, 0
353, 1, 0, 0, 0
421, 1, 0, 0, 0
370, 1, 0, 0, 0
326, 1, 0, 0, 0
354, 1, 0, 0, 0
341, 1, 0, 0, 0
379, 1, 0, 0, 0
354, 1, 0, 0, 0
375, 1, 0, 0, 0
326, 1, 0, 0, 0
334, 1, 0, 0, 0
314, 1, 0, 0, 0
320, 1, 0, 0, 0
332, 1, 0, 0, 0
552, 1, 0, 0, 0
331, 1, 0, 0, 0
337, 1, 0, 0, 0
324, 1, 0, 0, 0
418, 1, 0, 0, 0
316, 1, 0, 0, 0
357, 1, 0, 0, 0
339, 1, 0, 0, 0
392, 1, 0, 0, 0
341, 1, 0, 0, 0
381, 1, 0, 0, 0
319, 1, 0, 0, 0
355, 1, 0, 0, 0
338, 1, 0, 0, 0
333, 1, 0, 0, 0
385, 1, 0, 0, 0
427, 1, 0, 0, 0
340, 1, 0, 0, 0
356, 1, 0, 0, 0
329, 1, 0, 0, 0
364, 1, 0, 0, 0
319, 1, 0, 0, 0
527, 1, 0, 0, 0
336, 1, 0, 0, 0
375, 1, 0, 0, 0
365, 1, 0, 0, 0
385, 1, 0, 0, 0
328, 1, 0, 0, 0
341, 1, 0, 0, 0
320, 1, 0, 0, 0
335, 1, 0, 0, 0
312, 1, 0, 0, 0
401, 1, 0, 0, 0
325, 1, 0, 0, 0
332, 1, 0, 0, 0
317, 1, 0, 0, 0
342, 1, 0, 0, 0
339, 1, 0, 0, 0
354, 1, 0, 0, 0
330, 1, 0, 0, 0
384, 1, 0, 0, 0
318, 1, 0, 0, 0
334, 1, 0, 0, 0
308, 1, 0, 0, 0
371, 1, 0, 0, 0
508, 1, 0, 0, 0
334, 1, 0, 0, 0
344, 1, 0, 0, 0
456, 1, 0, 0, 0
345, 1, 0, 0, 0
340, 1, 0, 0, 0
329, 1, 0, 0, 0
367, 1, 0, 0, 0
316, 1, 0, 0, 0
346, 1, 0, 0, 0
337, 1, 0, 0, 0
372, 1, 0, 0, 0
375, 1, 0, 0, 0
350, 1, 0, 0, 0
323, 1, 0, 0, 0
365, 1, 0, 0, 0
341, 1, 0, 0, 0
345, 1, 0, 0, 0
314, 1, 0, 0, 0
354, 1, 0, 0, 0
629, 1, 0, 0, 0
335, 1, 0, 0, 0
330, 1, 0, 0, 0
378, 1, 0, 0, 0
323, 1, 0, 0, 0
348, 1, 0, 0, 0
332, 1, 0, 0, 0
403, 1, 0, 0, 0
305, 1, 0, 0, 0
318, 1, 0, 0, 0
310, 1, 0, 0, 0
342, 1, 0, 0, 0
307, 1, 0, 0, 0
325, 1, 0, 0, 0
315, 1, 0, 0, 0
418, 1, 0, 0, 0
412, 1, 0, 0, 0
355, 1, 0, 0, 0
336, 1, 0, 0, 0
339, 1, 0, 0, 0
331, 1, 0, 0, 0
313, 1, 0, 0, 0
235, 1, 0, 0, 0
232, 1, 0, 0, 0
220, 1, 0, 0, 0
224, 1, 0, 0, 0
250, 1, 0, 0, 0
381, 1, 0, 0, 0
322, 1, 0, 0, 0
371, 1, 0, 0, 0
338, 1, 0, 0, 0
359, 1, 0, 0, 0
349, 1, 0, 0, 0
367, 1, 0, 0, 0
356, 1, 0, 0, 0
428, 1, 0, 0, 0
347, 1, 0, 0, 0
405, 1, 0, 0, 0
410, 1, 0, 0, 0
365, 1, 0, 0, 0
353, 1, 0, 0, 0
339, 1, 0, 0, 0
329, 1, 0, 0, 0
374, 1, 0, 0, 0
327, 1, 0, 0, 0
645, 1, 0, 0, 0
353, 1, 0, 0, 0
413, 1, 0, 0, 0
351, 1, 0, 0, 0
392, 1, 0, 0, 0
356, 1, 0, 0, 0
368, 1, 0, 0, 0
325, 1, 0, 0, 0
427, 1, 0, 0, 0
348, 1, 0, 0, 0
369, 1, 0, 0, 0
318, 1, 0, 0, 0
357, 1, 0, 0, 0
315, 1, 0, 0, 0
363, 1, 0, 0, 0
336, 1, 0, 0, 0
404, 1, 0, 0, 0
306, 1, 0, 0, 0
353, 1, 0, 0, 0
305, 1, 0, 0, 0
359, 1, 0, 0, 0
307, 1, 0, 0, 0
402, 1, 0, 0, 0
304, 1, 0, 0, 0
443, 1, 0, 0, 0
361, 1, 0, 0, 0
358, 1, 0, 0, 0
432, 1, 0, 0, 0
354, 1, 0, 0, 0
346, 1, 0, 0, 0
381, 1, 0, 0, 0
332, 1, 0, 0, 0
394, 1, 0, 0, 0
357, 1, 0, 0, 0
419, 1, 0, 0, 0
318, 1, 0, 0, 0
392, 1, 0, 0, 0
356, 1, 0, 0, 0
361, 1, 0, 0, 0
331, 1, 0, 0, 0
429, 1, 0, 0, 0
325, 1, 0, 0, 0
338, 1, 0, 0, 0
326, 1, 0, 0, 0
368, 1, 0, 0, 0
345, 1, 0, 0, 0
372, 1, 0, 0, 0
363, 1, 0, 0, 0
375, 1, 0, 0, 0
347, 1, 0, 0, 0
383, 1, 0, 0, 0
312, 1, 0, 0, 0
388, 1, 0, 0, 0
349, 1, 0, 0, 0
351, 1, 0, 0, 0
331, 1, 0, 0, 0
436, 1, 0, 0, 0
347, 1, 0, 0, 0
336, 1, 0, 0, 0
312, 1, 0, 0, 0
351, 1, 0, 0, 0
340, 1, 0, 0, 0
352, 1, 0, 0, 0
308, 1, 0, 0, 0
385, 1, 0, 0, 0
324, 1, 0, 0, 0
360, 1, 0, 0, 0
313, 1, 0, 0, 0
388, 1, 0, 0, 0
323, 1, 0, 0, 0
400, 1, 0, 0, 0
311, 1, 0, 0, 0
496, 1, 0, 0, 0
328, 1, 0, 0, 0
355, 1, 0, 0, 0
371, 1, 0, 0, 0
380, 1, 0, 0, 0
342, 1, 0, 0, 0
356, 1, 0, 0, 0
325, 1, 0, 0, 0
389, 1, 0, 0, 0
329, 1, 0, 0, 0
353, 1, 0, 0, 0
318, 1, 0, 0, 0
352, 1, 0, 0, 0
317, 1, 0, 0, 0
326, 1, 0, 0, 0
297, 1, 0, 0, 0
416, 1, 0, 0, 0
402, 1, 0, 0, 0
351, 1, 0, 0, 0
344, 1, 0, 0, 0
370, 1, 0, 0, 0
342, 1, 0, 0, 0
361, 1, 0, 0, 0
318, 1, 0, 0, 0
389, 1, 0, 0, 0
346, 1, 0, 0, 0
335, 1, 0, 0, 0
314, 1, 0, 0, 0
362, 1, 0, 0, 0
348, 1, 0, 0, 0
339, 1, 0, 0, 0
308, 1, 0, 0, 0
407, 1, 0, 0, 0
419, 1, 0, 0, 0
463, 1, 0, 0, 0
320, 1, 0, 0, 0
383, 1, 0, 0, 0
348, 1, 0, 0, 0
481, 1, 0, 0, 0
366, 1, 0, 0, 0
389, 1, 0, 0, 0
405, 1, 0, 0, 0
419, 1, 0, 0, 0
313, 1, 0, 0, 0
460, 1, 0, 0, 0
346, 1, 0, 0, 0
464, 1, 0, 0, 0
327, 1, 0, 0, 0
496, 1, 0, 0, 0
364, 1, 0, 0, 0
368, 1, 0, 0, 0
608, 1, 0, 0, 0
398, 1, 0, 0, 0
306, 1, 0, 0, 0
410, 1, 0, 0, 0
323, 1, 0, 0, 0
462, 1, 0, 0, 0
350, 1, 0, 0, 0
376, 1, 0, 0, 0
340, 1, 0, 0, 0
434, 1, 0, 0, 0
396, 1, 0, 0, 0
371, 1, 0, 0, 0
399, 1, 0, 0, 0
413, 1, 0, 0, 0
447, 1, 0, 0, 0
355, 1, 0, 0, 0
339, 1, 0, 0, 0
343, 1, 0, 0, 0
336, 1, 0, 0, 0
477, 1, 0, 0, 0
486, 1, 0, 0, 0
447, 1, 0, 0, 0
401, 1, 0, 0, 0
373, 1, 0, 0, 0
320, 1, 0, 0, 0
472, 1, 0, 0, 0
303, 1, 0, 0, 0
330, 1, 0, 0, 0
359, 1, 0, 0, 0
461, 1, 0, 0, 0
354, 1, 0, 0, 0
454, 1, 0, 0, 0
317, 1, 0, 0, 0
383, 1, 0, 0, 0
375, 1, 0, 0, 0
422, 1, 0, 0, 0
323, 1, 0, 0, 0
493, 1, 0, 0, 0
404, 1, 0, 0, 0
377, 1, 0, 0, 0
691, 1, 0, 0, 0
371, 1, 0, 0, 0
346, 1, 0, 0, 0
341, 1, 0, 0, 0
318, 1, 0, 0, 0
411, 1, 0, 0, 0
338, 1, 0, 0, 0
331, 1, 0, 0, 0
331, 1, 0, 0, 0
359, 1, 0, 0, 0
324, 1, 0, 0, 0
349, 1, 0, 0, 0
322, 1, 0, 0, 0
392, 1, 0, 0, 0
351, 1, 0, 0, 0
353, 1, 0, 0, 0
313, 1, 0, 0, 0
359, 1, 0, 0, 0
325, 1, 0, 0, 0
395, 1, 0, 0, 0
670, 1, 0, 0, 0
375, 1, 0, 0, 0
328, 1, 0, 0, 0
365, 1, 0, 0, 0
319, 1, 0, 0, 0
346, 1, 0, 0, 0
323, 1, 0, 0, 0
341, 1, 0, 0, 0
323, 1, 0, 0, 0
429, 1, 0, 0, 0
330, 1, 0, 0, 0
336, 1, 0, 0, 0
375, 1, 0, 0, 0
397, 1, 0, 0, 0
328, 1, 0, 0, 0
334, 1, 0, 0, 0
298, 1, 0, 0, 0
461, 1, 0, 0, 0
338, 1, 0, 0, 0
357, 1, 0, 0, 0
316, 1, 0, 0, 0
388, 1, 0, 0, 0
473, 1, 0, 0, 0
359, 1, 0, 0, 0
312, 1, 0, 0, 0
394, 1, 0, 0, 0
327, 1, 0, 0, 0
344, 1, 0, 0, 0
324, 1, 0, 0, 0
375, 1, 0, 0, 0
320, 1, 0, 0, 0
333, 1, 0, 0, 0
312, 1, 0, 0, 0
397, 1, 0, 0, 0
339, 1, 0, 0, 0
370, 1, 0, 0, 0
312, 1, 0, 0, 0
377, 1, 0, 0, 0
319, 1, 0, 0, 0
416, 1, 0, 0, 0
333, 1, 0, 0, 0
389, 1, 0, 0, 0
494, 1, 0, 0, 0
336, 1, 0, 0, 0
306, 1, 0, 0, 0
377, 1, 0, 0, 0
322, 1, 0, 0, 0
347, 1, 0, 0, 0
320, 1, 0, 0, 0
418, 1, 0, 0, 0
314, 1, 0, 0, 0
347, 1, 0, 0, 0
305, 1, 0, 0, 0
350, 1, 0, 0, 0
295, 1, 0, 0, 0
390, 1, 0, 0, 0
326, 1, 0, 0, 0
402, 1, 0, 0, 0
324, 1, 0, 0, 0
349, 1, 0, 0, 0
296, 1, 0, 0, 0
368, 1, 0, 0, 0
315, 1, 0, 0, 0
355, 1, 0, 0, 0
296, 1, 0, 0, 0
753, 1, 0, 0, 0
287, 1, 0, 0, 0
359, 1, 0, 0, 0
311, 1, 0, 0, 0
354, 1, 0, 0, 0
300, 1, 0, 0, 0
402, 1, 0, 0, 0
302, 1, 0, 0, 0
384, 1, 0, 0, 0
292, 1, 0, 0, 0
328, 1, 0, 0, 0
298, 1, 0, 0, 0
351, 1, 0, 0, 0
337, 1, 0, 0, 0
340, 1, 0, 0, 0
321, 1, 0, 0, 0
373, 1, 0, 0, 0
327, 1, 0, 0, 0
353, 1, 0, 0, 0
326, 1, 0, 0, 0
349, 1, 0, 0, 0
319, 1, 0, 0, 0
404, 1, 0, 0, 0
525, 1, 0, 0, 0
373, 1, 0, 0, 0
301, 1, 0, 0, 0
335, 1, 0, 0, 0
313, 1, 0, 0, 0
352, 1, 0, 0, 0
332, 1, 0, 0, 0
402, 1, 0, 0, 0
300, 1, 0, 0, 0
422, 1, 0, 0, 0
311, 1, 0, 0, 0
320, 1, 0, 0, 0
304, 1, 0, 0, 0
410, 1, 0, 0, 0
301, 1, 0, 0, 0
327, 1, 0, 0, 0
314, 1, 0, 0, 0
424, 1, 0, 0, 0
298, 1, 0, 0, 0
322, 1, 0, 0, 0
299, 1, 0, 0, 0
352, 1, 0, 0, 0
296, 1, 0, 0, 0
373, 1, 0, 0, 0
299, 1, 0, 0, 0
418, 1, 0, 0, 0
305, 1, 0, 0, 0
347, 1, 0, 0, 0
315, 1, 0, 0, 0
347, 1, 0, 0, 0
324, 1, 0, 0, 0
382, 1, 0, 0, 0
302, 1, 0, 0, 0
366, 1, 0, 0, 0
341, 1, 0, 0, 0
337, 1, 0, 0, 0
296, 1, 0, 0, 0
373, 1, 0, 0, 0
282, 1, 0, 0, 0
336, 1, 0, 0, 0
296, 1, 0, 0, 0
387, 1, 0, 0, 0
314, 1, 0, 0, 0
321, 1, 0, 0, 0
300, 1, 0, 0, 0
396, 1, 0, 0, 0
306, 1, 0, 0, 0
338, 1, 0, 0, 0
309, 1, 0, 0, 0
397, 1, 0, 0, 0
336, 1, 0, 0, 0
355, 1, 0, 0, 0
293, 1, 0, 0, 0
613, 1, 0, 0, 0
317, 1, 0, 0, 0
325, 1, 0, 0, 0
317, 1, 0, 0, 0
431, 1, 0, 0, 0
324, 1, 0, 0, 0
334, 1, 0, 0, 0
307, 1, 0, 0, 0
345, 1, 0, 0, 0
326, 1, 0, 0, 0
386, 1, 0, 0, 0
295, 1, 0, 0, 0
410, 1, 0, 0, 0
371, 1, 0, 0, 0
349, 1, 0, 0, 0
298, 1, 0, 0, 0
352, 1, 0, 0, 0
285, 1, 0, 0, 0
319, 1, 0, 0, 0
295, 1, 0, 0, 0
418, 1, 0, 0, 0
296, 1, 0, 0, 0
330, 1, 0, 0, 0
627, 1, 0, 0, 0
389, 1, 0, 0, 0
310, 1, 0, 0, 0
334, 1, 0, 0, 0
312, 1, 0, 0, 0
394, 1, 0, 0, 0
345, 1, 0, 0, 0
344, 1, 0, 0, 0
328, 1, 0, 0, 0
354, 1, 0, 0, 0
349, 1, 0, 0, 0
344, 1, 0, 0, 0
590, 1, 0, 0, 0
422, 1, 0, 0, 0
339, 1, 0, 0, 0
340, 1, 0, 0, 0
308, 1, 0, 0, 0
357, 1, 0, 0, 0
313, 1, 0, 0, 0
377, 1, 0, 0, 0
341, 1, 0, 0, 0
401, 1, 0, 0, 0
319, 1, 0, 0, 0
409, 1, 0, 0, 0
383, 1, 0, 0, 0
347, 1, 0, 0, 0
329, 1, 0, 0, 0
377, 1, 0, 0, 0
325, 1, 0, 0, 0
431, 1, 0, 0, 0
303, 1, 0, 0, 0
366, 1, 0, 0, 0
338, 1, 0, 0, 0
468, 1, 0, 0, 0
304, 1, 0, 0, 0
350, 1, 0, 0, 0
326, 1, 0, 0, 0
384, 1, 0, 0, 0
336, 1, 0, 0, 0
370, 1, 0, 0, 0
304, 1, 0, 0, 0
358, 1, 0, 0, 0
316, 1, 0, 0, 0
351, 1, 0, 0, 0
309, 1, 0, 0, 0
439, 1, 0, 0, 0
295, 1, 0, 0, 0
359, 1, 0, 0, 0
319, 1, 0, 0, 0
364, 1, 0, 0, 0
313, 1, 0, 0, 0
357, 1, 0, 0, 0
348, 1, 0, 0, 0
400, 1, 0, 0, 0
332, 1, 0, 0, 0
354, 1, 0, 0, 0
307, 1, 0, 0, 0
357, 1, 0, 0, 0
605, 1, 0, 0, 0
343, 1, 0, 0, 0
322, 1, 0, 0, 0
412, 1, 0, 0, 0
302, 1, 0, 0, 0
333, 1, 0, 0, 0
316, 1, 0, 0, 0
358, 1, 0, 0, 0
309, 1, 0, 0, 0
339, 1, 0, 0, 0
314, 1, 0, 0, 0
399, 1, 0, 0, 0
322, 1, 0, 0, 0
336, 1, 0, 0, 0
318, 1, 0, 0, 0
389, 1, 0, 0, 0
320, 1, 0, 0, 0
340, 1, 0, 0, 0
300, 1, 0, 0, 0
451, 1, 0, 0, 0
330, 1, 0, 0, 0
369, 1, 0, 0, 0
663, 1, 0, 0, 0
378, 1, 0, 0, 0
313, 1, 0, 0, 0
337, 1, 0, 0, 0
300, 1, 0, 0, 0
387, 1, 0, 0, 0
328, 1, 0, 0, 0
340, 1, 0, 0, 0
327, 1, 0, 0, 0
358, 1, 0, 0, 0
344, 1, 0, 0, 0
330, 1, 0, 0, 0
320, 1, 0, 0, 0
413, 1, 0, 0, 0
331, 1, 0, 0, 0
328, 1, 0, 0, 0
318, 1, 0, 0, 0
367, 1, 0, 0, 0
306, 1, 0, 0, 0
340, 1, 0, 0, 0
317, 1, 0, 0, 0
377, 1, 0, 0, 0
338, 1, 0, 0, 0
335, 1, 0, 0, 0
344, 1, 0, 0, 0
639, 1, 0, 0, 0
318, 1, 0, 0, 0
372, 1, 0, 0, 0
312, 1, 0, 0, 0
413, 1, 0, 0, 0
296, 1, 0, 0, 0
328, 1, 0, 0, 0
309, 1, 0, 0, 0
355, 1, 0, 0, 0
304, 1, 0, 0, 0
342, 1, 0, 0, 0
329, 1, 0, 0, 0
396, 1, 0, 0, 0
345, 1, 0, 0, 0
341, 1, 0, 0, 0
304, 1, 0, 0, 0
369, 1, 0, 0, 0
328, 1, 0, 0, 0
335, 1, 0, 0, 0
309, 1, 0, 0, 0
429, 1, 0, 0, 0
313, 1, 0, 0, 0
660, 1, 0, 0, 0
307, 1, 0, 0, 0
371, 1, 0, 0, 0
337, 1, 0, 0, 0
333, 1, 0, 0, 0
356, 1, 0, 0, 0
402, 1, 0, 0, 0
332, 1, 0, 0, 0
341, 1, 0, 0, 0
290, 1, 0, 0, 0
342, 1, 0, 0, 0
324, 1, 0, 0, 0
333, 1, 0, 0, 0
320, 1, 0, 0, 0
457, 1, 0, 0, 0
316, 1, 0, 0, 0
360, 1, 0, 0, 0
333, 1, 0, 0, 0
355, 1, 0, 0, 0
336, 1, 0, 0, 0
